tweet_id,retweet_count,favorite_count,geo_data,lang_data
824297048279236611,3572,14239,None,en
824025158776213504,558,4582,None,en
823939628516474880,2541,10062,None,en
823719002937630720,10371,0,None,en
823699002998870016,2336,13222,None,en
823581115634085888,2448,12280,None,en
823333489516937216,22,662,None,und
823322678127919110,3720,14840,None,en
823269594223824897,9241,0,None,en
822975315408461824,3200,16382,None,en
822872901745569793,39943,124165,None,en
822859134160621569,2111,12466,None,en
822647212903690241,5959,0,None,en
822610361945911296,2736,13983,None,en
822489057087389700,5959,17131,None,en
822462944365645825,13164,26331,None,en
822244816520155136,9241,33130,None,en
822163064745328640,4385,0,None,en
821886076407029760,2144,10682,None,en
821813639212650496,3127,0,None,en
821765923262631936,1557,7910,None,en
821522889702862852,1633,7576,None,en
821421320206483457,5131,0,None,en
821407182352777218,3997,11112,None,en
821153421864615936,9,236,None,en
821149554670182400,1826,8116,None,en
821107785811234820,1975,9079,None,en
821044531881721856,2127,11970,None,en
820837357901512704,6246,0,None,en
820749716845686786,9228,29856,None,en
820690176645140481,3004,11582,None,en
820494788566847489,523,0,None,en
820446719150292993,2396,0,None,en
820314633777061888,523,3163,None,en
820078625395449857,5798,18665,None,en
820013781606658049,1082,0,None,en
819952236453363712,1082,5019,None,en
819924195358416896,4550,12245,None,en
819711362133872643,2878,12628,None,en
819588359383371776,1870,9166,None,en
819347104292290561,1116,6849,None,en
819238181065359361,379,2141,None,en
819227688460238848,6246,21806,None,en
819015337530290176,34559,0,None,en
819015331746349057,17806,0,None,en
819006400881917954,17806,43057,None,en
819004803107983360,34559,82731,None,en
818646164899774465,19466,0,None,en
818627210458333184,7063,21242,None,en
818614493328580609,2355,9312,None,en
818588835076603904,5700,0,None,en
818536468981415936,2274,10282,None,en
818307523543449600,7470,0,None,en
818259473185828864,2088,10425,None,en
818145370475810820,2370,11625,None,en
817908911860748288,741,4611,None,en
817827839487737858,25145,48672,None,en
817777686764523521,2521,10230,None,en
817536400337801217,2731,11134,None,en
817502432452313088,3146,0,None,en
817423860136083457,13606,31889,None,en
817415592588222464,890,5300,None,en
817181837579653120,7875,0,None,en
817171292965273600,1871,8317,None,en
817120970343411712,2415,11552,None,en
817056546584727552,1519,8145,None,en
816829038950027264,4396,0,None,en
816816676327063552,1898,9486,None,en
816697700272001025,2059,9250,None,en
816450570814898180,7470,28734,None,en
816336735214911488,1804,8171,None,en
816091915477250048,1991,8486,None,en
816062466425819140,944,0,None,en
816014286006976512,4888,0,None,en
815990720817401858,944,4692,None,en
815966073409433600,7875,21150,None,en
815745968457060357,3862,0,None,en
815736392542261248,2122,9315,None,en
815639385530101762,1555,7827,None,en
815390420867969024,3573,9833,None,en
814986499976527872,1187,7259,None,en
814638523311648768,2527,10699,None,en
814578408554463233,5465,0,None,en
814530161257443328,1742,8221,None,en
814153002265309185,8116,27280,None,en
813944609378369540,2960,0,None,en
813910438903693312,1735,8860,None,en
813812741911748608,13044,34660,None,en
813800681631023104,1650,7885,None,en
813217897535406080,6853,17704,None,en
813202720496779264,1707,8775,None,en
813187593374461952,4049,18849,None,en
813172488309972993,1809,8815,None,en
813157409116065792,2067,7386,None,en
813142292504645637,2245,8091,None,en
813130366689148928,418,4264,None,en
813127251579564032,2924,11217,None,en
813112105746448384,2572,9799,None,en
813096984823349248,3391,10044,None,en
813081950185472002,2598,9422,None,en
813066809284972545,1830,7545,None,en
813051746834595840,6867,19931,None,en
812781120811126785,1787,7158,None,en
812709060537683968,1353,6297,None,en
812503143955202048,1148,5745,None,en
812466873996607488,1802,7569,None,en
812372279581671427,3427,12946,None,en
811985624773361665,1312,6920,None,en
811744202451197953,1479,7165,None,en
811647686436880384,682,5323,None,en
811627233043480576,2856,12084,None,en
811386762094317568,5989,19887,None,en
810984652412424192,1335,5062,None,en
810896069567610880,1646,8552,None,en
810657578271330305,2471,10436,None,en
810284430598270976,10503,33350,None,en
810254108431155201,3169,13987,None,en
809920764300447744,3686,14793,None,en
809808892968534016,4584,0,None,en
809448704142938112,1371,6613,None,en
809220051211603969,5255,18907,None,en
809084759137812480,3307,12572,None,en
808838249661788160,2868,9649,None,en
808733504066486276,2034,7514,None,en
808501579447930884,2456,10766,None,en
808344865868283904,19466,40241,None,en
808134635716833280,5526,0,None,en
808106460588765185,2071,8395,None,en
808001312164028416,3318,11863,None,en
807621403335917568,3392,13871,None,en
807106840509214720,51716,111751,None,en
807059379405148160,6898,0,None,en
807010152071229440,3638,12488,None,en
806629075125202948,32411,70678,None,en
806620845233815552,5150,0,None,en
806576416489959424,1826,4665,None,en
806542213899489280,2219,9745,None,en
806242860592926720,10894,0,None,en
806219024703037440,1134,6141,None,en
805958939288408065,5021,0,None,en
805932879469572096,1803,7893,None,en
805826884734976000,1717,6247,None,en
805823200554876929,7484,0,None,en
805520635690676224,1552,5487,None,en
805487436403003392,2382,8359,None,en
805207613751304193,1629,7485,None,en
804738756058218496,3604,13002,None,en
804475857670639616,1892,5851,None,en
804413760345620481,3013,0,None,en
804026241225523202,15071,42106,None,en
803773340896923648,2591,9567,None,en
803692223237865472,6933,0,None,en
803638050916102144,3887,10387,None,en
803380650405482500,1770,7400,None,en
803321560782307329,4964,0,None,en
803276597545603072,2301,9564,None,en
802952499103731712,1875,8586,None,en
802624713319034886,2728,0,None,en
802600418706604034,1385,6770,None,en
802572683846291456,2360,8526,None,en
802323869084381190,5488,15355,None,en
802265048156610565,1299,6627,None,en
802239329049477120,2460,8656,None,en
802185808107208704,251,0,None,en
801958328846974976,1598,7370,None,en
801854953262350336,219,1726,None,en
801538201127157760,1954,7825,None,en
801285448605831168,773,5748,None,en
801167903437357056,5526,23203,None,en
801127390143516673,3703,0,None,en
801115127852503040,1986,7685,None,en
800859414831898624,91,647,None,en
800855607700029440,1520,0,None,en
800751577355128832,2638,10097,None,en
800513324630806528,2834,12509,None,en
800459316964663297,2063,9053,None,en
800443802682937345,4030,0,None,en
800388270626521089,2638,10630,None,en
800188575492947969,3698,0,None,en
800141422401830912,2396,14524,None,en
800018252395122689,12337,26936,None,en
799774291445383169,4376,0,None,en
799757965289017345,2005,7983,None,en
799422933579902976,1801,7693,None,en
799308762079035393,5095,0,None,en
799297110730567681,2569,9395,None,en
799063482566066176,2342,7699,None,en
798933969379225600,4162,12437,None,en
798925684722855936,1363,7164,None,en
798705661114773508,6225,0,None,en
798701998996647937,7258,0,None,en
798697898615730177,6104,0,None,en
798694562394996736,4645,0,None,en
798686750113755136,2181,0,None,en
798682547630837760,4438,0,None,en
798673117451325440,5228,0,None,en
798665375516884993,3679,0,None,en
798644042770751489,1747,0,None,en
798628517273620480,1867,0,None,en
798585098161549313,5279,0,None,en
798576900688019456,5492,0,None,en
798340744599797760,3143,0,None,en
798209839306514432,2425,9931,None,en
797971864723324932,2893,10968,None,en
797545162159308800,4623,13892,None,en
797236660651966464,6168,18955,None,en
797165961484890113,24,214,None,en
796904159865868288,8360,0,None,en
796865951799083009,1830,7322,None,en
796759840936919040,2838,11220,None,en
796563435802726400,6755,0,None,en
796484825502875648,1654,7194,None,en
796387464403357696,3895,10471,None,en
796177847564038144,13391,0,None,en
796149749086875649,13391,30559,None,en
796125600683540480,1686,4740,None,und
796116448414461957,2254,8652,None,en
796080075804475393,2173,8028,None,en
796031486298386433,3505,10284,None,en
795464331001561088,22000,46849,None,en
795400264262053889,2688,9523,None,en
795076730285391872,5108,15358,None,en
794983741416415232,3162,0,None,en
794926597468000259,2164,9694,None,en
794355576146903043,9674,0,None,en
794332329137291264,2541,9144,None,en
794205286408003585,3117,8780,None,en
793962221541933056,4584,15923,None,en
793845145112371200,1750,8783,None,en
793614319594401792,2932,0,None,en
793601777308463104,1519,7589,None,en
793500921481273345,2237,10137,None,en
793286476301799424,8604,23371,None,en
793271401113350145,2250,8263,None,en
793256262322548741,7815,18957,None,en
793241302385262592,3082,10004,None,en
793226087023144960,2721,9293,None,en
793210959003287553,2614,8489,None,en
793195938047070209,5282,14472,None,en
793180763617361921,1867,6575,None,en
793165685325201412,2631,8915,None,en
793150605191548928,1598,5861,None,en
793135492858580992,2363,6091,None,en
793120401413079041,3693,12039,None,en
792913359805018113,3719,13617,None,en
792883833364439040,4008,10723,None,en
792773781206999040,1574,7007,None,en
792394556390137856,4020,12742,None,en
792050063153438720,1674,6784,None,en
791821351946420224,19733,0,None,en
791784077045166082,8915,0,None,en
791780927877898241,3563,0,None,en
791774931465953280,20791,42813,None,en
